id,prob
E10559,0.5276881456375122
E4849,0.21739698946475983
E3964,0.9136434197425842
E542,0.3436853885650635
E331,0.26641005277633667
E10471,0.6885270476341248
E9186,0.2544556260108948
E5576,0.1803426295518875
E9705,0.7618970274925232
E7309,0.317140132188797
E476,0.9296221137046814
E5217,0.2596341073513031
E7653,0.1888275444507599
E1530,0.5705141425132751
E10379,0.7322747111320496
E1516,0.6427420973777771
E9418,0.9395426511764526
E9388,0.23478397727012634
E10737,0.43357232213020325
E5290,0.8601179122924805
E6010,0.2646583914756775
E4307,0.20602823793888092
E4548,0.1959041953086853
E3030,0.7071203589439392
E68,0.941358208656311
E5739,0.9328002333641052
E2394,0.8985334038734436
E3629,0.16628368198871613
E8652,0.8009535670280457
E5779,0.26516425609588623
E10269,0.20876382291316986
E7456,0.4076456129550934
E9199,0.3161657750606537
E1606,0.2820174992084503
E9077,0.7722947597503662
E9576,0.3761468827724457
E2810,0.9272332787513733
E1091,0.630221426486969
E2755,0.5996885895729065
E1405,0.7426712512969971
E2213,0.20384086668491364
E1321,0.20643401145935059
E10797,0.42169374227523804
E7340,0.6383087635040283
E9659,0.7132076025009155
E1678,0.9346715211868286
E9591,0.20271658897399902
E6377,0.927466094493866
E10130,0.8637827634811401
E5582,0.1318749189376831
E9510,0.18086941540241241
E4237,0.18995042145252228
E10470,0.7858169078826904
E7528,0.47770899534225464
E2567,0.6061997413635254
E6083,0.2017732858657837
E6735,0.7558608055114746
E6800,0.9289441108703613
E2293,0.15518033504486084
E1633,0.40647825598716736
E10659,0.9139877557754517
E543,0.18489018082618713
E7177,0.3158916234970093
E4126,0.21218979358673096
E2850,0.38327085971832275
E2078,0.5091312527656555
E5746,0.563875138759613
E2445,0.6730110049247742
E2958,0.33259856700897217
E3497,0.9433082342147827
E5069,0.3932846784591675
E8995,0.305167019367218
E8220,0.5407062768936157
E4354,0.1324438750743866
E7578,0.15335851907730103
E2122,0.22730979323387146
E6661,0.39448192715644836
E2582,0.5883644819259644
E1836,0.2686948776245117
E7881,0.8780966997146606
E6685,0.18473605811595917
E113,0.1802772581577301
E1161,0.2646358013153076
E8062,0.28244590759277344
E5637,0.4102613925933838
E4470,0.9418013095855713
E6905,0.2401684671640396
E7553,0.270759642124176
E7773,0.16519033908843994
E1991,0.9250149130821228
E3997,0.38121676445007324
E5326,0.16091229021549225
E3076,0.8201317191123962
E2018,0.856762707233429
E594,0.25764042139053345
E2971,0.22119460999965668
E6692,0.8708063960075378
E3383,0.21026583015918732
E8755,0.37278446555137634
E1494,0.8097946047782898
E7725,0.24005097150802612
E8265,0.2619777321815491
