4,0.07142857142857142,884,0.11764705882352941,0.15384615384615385,7,5,6,6,3,5,3,7,6,4,0,0,1,0,1,1,1,0,0,0,15,12,11,14,1,1,2,0,0.08651723012892816,0.29848423799869817,0.26522891529210263,0.07916665067618452,0.1691978001795694
0,0.0,729,0.0,0.0,5,6,7,3,3,4,8,8,6,4,0,0,0,0,0,0,0,0,0,0,13,11,17,13,0,0,0,0,0.020083815925025773,0.29074480169637845,0.2883356530665142,0.08383209227281944,1
1,0.015873015873015872,1008,0.027777777777777776,0.03571428571428571,10,6,4,1,5,6,10,7,8,5,0,0,0,0,0,0,1,0,0,0,19,7,22,14,0,0,1,0,0.018060217155545323,0.30215475348284737,0.299201774465892,0.0904052384053721,0.0
4,0.0547945205479452,1410,0.0851063829787234,0.13333333333333333,8,4,8,8,12,5,4,5,8,7,0,0,1,0,2,0,0,1,0,0,15,25,12,17,1,2,1,0,0.0010610526638359086,0.27367587307410673,0.276278952921172,0.07561088365270177,0.1784602338896977
1,0.014492753623188406,1225,0.02857142857142857,0.02857142857142857,8,7,7,9,8,5,10,7,3,4,0,0,0,0,1,0,0,0,0,0,17,22,21,8,0,1,0,0,0.055306508236564994,0.23591138530617675,0.27985962549584786,0.06602207194199329,0.0
0,0.0,1295,0.0,0.0,7,7,12,7,8,4,7,6,6,8,0,0,0,0,0,0,0,0,0,0,20,21,14,17,0,0,0,0,0.06785419731679522,0.29905658805216495,0.27992948541625484,0.08371475680378344,1
3,0.05172413793103448,918,0.08823529411764706,0.1111111111111111,6,6,12,5,2,4,5,7,5,3,1,0,0,0,0,0,1,0,1,0,19,12,13,11,1,0,1,1,0.03781777361228044,0.30350122123933143,0.2863702265320878,0.08691371347907265,0.3409665063511264
2,0.034482758620689655,884,0.058823529411764705,0.07692307692307693,7,7,9,10,3,2,5,5,6,2,1,0,0,1,0,0,0,0,0,0,19,17,10,10,1,1,0,0,0.03462399937436076,0.30304114498987933,0.24884041005549337,0.0754088827829678,0.14933837429111532
2,0.037037037037037035,780,0.06666666666666667,0.07692307692307693,7,6,8,6,2,8,5,5,3,2,0,0,0,0,0,0,0,1,0,1,17,12,16,7,0,0,0,2,0.041273534279205326,0.29877046235775157,0.26564285333209464,0.0793662381120623,0.09235754793410748
0,0.0,1040,0.0,0.0,8,7,6,5,7,8,4,8,7,6,0,0,0,0,0,0,0,0,0,0,18,15,16,17,0,0,0,0,0.02327634558258375,0.31773952960042023,0.23678469474098826,0.07523585752358071,1
1,0.015384615384615385,1088,0.029411764705882353,0.03125,3,7,7,3,3,7,10,6,9,9,1,0,0,0,0,0,0,0,0,0,16,7,21,20,1,0,0,0,0.02969373004400249,0.2963009103481159,0.29321469961128044,0.08687978242227173,0.0
0,0.0,945,0.0,0.0,7,9,8,3,5,10,6,4,5,5,0,0,0,0,0,0,0,0,0,0,20,12,18,12,0,0,0,0,0.03739424776421805,0.3206873337482366,0.26273815205882317,0.08425679745768276,1
2,0.03333333333333333,936,0.07692307692307693,0.05555555555555555,5,5,5,7,8,3,3,10,3,9,0,1,0,0,0,0,1,0,0,0,12,18,12,16,1,0,1,0,0.08908808058146438,0.3102936103001464,0.2741830975955953,0.08507726323621465,0.2655954631379962
5,0.09803921568627451,768,0.20833333333333334,0.15625,5,5,2,1,6,1,8,4,7,7,1,0,1,1,0,0,0,1,0,1,12,7,13,14,2,1,1,1,0.08348523719506704,0.32338038271697783,0.31046238913201385,0.10039744621673793,0.3320102004072697
