id,to,from,label
E10311,2399,2339,0
E10255,2397,1144,1
E10667,854,1726,0
E9395,872,702,0
E5926,2450,1312,1
E485,384,1277,0
E7506,1808,2472,1
E2160,97,1861,0
E7406,2030,2494,1
E5573,682,100,0
E10441,477,1215,0
E4626,918,2028,0
E4251,451,2487,0
E5685,849,161,0
E10087,1767,4,1
E1882,2393,592,1
E7179,2689,1874,0
E5443,1973,2431,0
E1256,749,2454,1
E9233,2004,2045,0
E4679,1155,2017,1
E7700,2175,1185,1
E2191,2319,786,0
E140,1120,1678,0
E9183,816,1769,0
E5293,787,2707,1
E1527,1512,1273,0
E5401,746,413,0
E10294,1421,2113,1
E10523,574,2328,0
E10605,1905,1187,1
E4407,1376,2356,0
E10050,1713,1481,0
E6865,853,2051,0
E6634,2062,415,1
E6229,1757,2359,1
E10085,2607,1069,1
E2746,2013,541,1
E10577,415,2257,0
E3653,2680,1186,0
E2752,2175,2003,0
E7695,1354,11,0
E48,354,1110,1
E5108,1763,1163,1
E7863,235,2668,1
E1254,504,1690,0
E2731,1667,732,0
E235,455,1509,0
E7563,869,1896,0
E6822,206,223,0
E1643,1460,842,0
E4003,254,740,1
E3869,753,1265,1
E9229,824,1027,1
E7204,2245,2530,1
E5185,1110,1531,0
E10046,863,2354,0
E795,1937,2,0
E4786,2320,552,0
E1404,1198,778,1
E5157,1383,282,1
E4556,798,2509,0
E6089,1155,176,1
E1933,343,1583,1
E7032,1044,2608,0
E5512,2541,1768,0
E8578,1998,1257,1
E5435,53,1831,1
E7371,1308,171,1
E5132,2569,244,0
E7820,1529,2532,0
E10524,701,417,0
E7259,1320,563,1
E7272,673,815,0
E1519,2075,1222,0
E6488,1546,954,1
E6103,330,2048,1
E5656,2434,589,0
E2901,1171,2514,1
E6233,46,2081,0
E10671,2695,1715,1
E639,979,34,1
E5398,1707,568,0
E4621,1481,1233,1
E3013,2272,683,1
E5284,1924,486,1
E6922,232,815,0
E7963,1388,1920,1
E2833,615,290,0
E696,2032,520,1
E2339,1807,204,1
E9470,649,1490,1
E7300,2245,1733,0
E1908,1860,523,0
E8068,155,2585,0
E5002,1776,1638,1
E447,2382,260,1
E4956,255,1879,0
E4017,549,2175,0
E5516,729,331,0
E5368,561,1245,0
E9613,641,1420,1
E3158,916,2703,1
E6536,2121,1018,1
E8095,975,2572,1
E1264,261,346,0
E2902,1730,1638,0
E10400,404,908,1
E10854,2673,953,0
E2168,1231,663,1
E3387,2043,1591,0
E3348,351,62,0
E3900,1329,345,0
E1207,2454,2397,0
E7446,2093,2454,1
E4690,1100,282,0
E4166,1243,480,1
E6915,670,412,0
E286,278,1194,1
E5812,497,443,0
E5607,2105,396,1
E3468,2427,1971,0
E3210,149,2586,0
E1851,89,2122,0
E5908,1224,1139,0
E8384,1383,1379,1
E10571,309,251,1
E5948,1685,1283,1
E5825,2245,2555,1
E460,245,1336,0
E799,473,1824,1
E9173,1800,2046,1
E5806,1846,1085,1
E10781,2312,2102,1
E3346,474,1314,1
E10548,2450,344,1
E6776,2229,1281,1
E8908,410,96,0
E4248,548,2247,1
E2816,1924,2562,1
E4500,32,1765,1
E9628,2248,1358,1
E9806,280,1943,0
E4214,1910,955,1
E4374,2546,974,1
E10428,39,2294,1
E4567,721,1301,0
E8331,1290,1865,1
E8431,731,95,0
E1652,354,336,1
E4315,1840,765,0
E2855,1086,3,0
E8532,197,1023,0
E2938,1291,2080,0
E6238,1028,1646,1
E8889,2375,2493,0
E6286,1503,198,1
E530,1399,514,1
E2265,1156,2707,0
E10198,587,1487,0
E1258,835,1923,0
E467,1183,2132,1
E5612,2010,759,0
E6654,470,2229,0
E2218,2227,2423,0
E4606,119,1033,1
E9314,2404,233,0
E8684,647,389,0
E10812,2040,2282,1
E8383,1394,345,1
E976,1788,1532,1
E168,2023,2172,1
E8417,2082,679,0
E252,1791,98,1
E3080,2336,1241,0
E2205,768,410,0
E5103,1281,2499,1
E8477,61,2610,1
E4509,397,499,1
E2692,995,2683,1
E4211,2347,2311,1
E9032,2215,2526,0
E6815,344,1017,0
E3756,125,1975,0
E866,1777,761,0
E8358,1548,1290,0
E912,152,1348,0
