id,prob
E10559,0.5
E4849,0.5
E3964,0.5
E542,0.5
E331,0.5
E10471,0.5
E9186,0.5
E5576,0.5
E9705,0.5
E7309,0.5
E476,0.5
E5217,0.5
E7653,0.5
E1530,0.5
E10379,0.5
E1516,0.5
E9418,0.5
E9388,0.5
E10737,0.5
E5290,0.5
E6010,0.5
E4307,0.5
E4548,0.5
E3030,0.5
E68,0.5
E5739,0.5
E2394,0.5
E3629,0.5
E8652,0.5
E5779,0.5
E10269,0.5
E7456,0.5
E9199,0.5
E1606,0.5
E9077,0.5
E9576,0.5
E2810,0.5
E1091,0.5
E2755,0.5
E1405,0.5
E2213,0.5
E1321,0.5
E10797,0.5
E7340,0.5
E9659,0.5
E1678,0.5
E9591,0.5
E6377,0.5
E10130,0.5
E5582,0.5
E9510,0.5
E4237,0.5
E10470,0.5
E7528,0.5
E2567,0.5
E6083,0.5
E6735,0.5
E6800,0.5
E2293,0.5
E1633,0.5
E10659,0.5
E543,0.5
E7177,0.5
E4126,0.5
E2850,0.5
E2078,0.5
E5746,0.5
E2445,0.5
E2958,0.5
E3497,0.5
E5069,0.5
E8995,0.5
E8220,0.5
E4354,0.5
E7578,0.5
E2122,0.5
E6661,0.5
E2582,0.5
E1836,0.5
E7881,0.5
E6685,0.5
E113,0.5
E1161,0.5
E8062,0.5
E5637,0.5
E4470,0.5
E6905,0.5
E7553,0.5
E7773,0.5
E1991,0.5
E3997,0.5
E5326,0.5
E3076,0.5
E2018,0.5
E594,0.5
E2971,0.5
E6692,0.5
E3383,0.5
E8755,0.5
E1494,0.5
E7725,0.5
E8265,0.5
E8021,0.5
E7110,0.5
E8495,0.5
E6551,0.5
E10716,0.5
E9434,0.5
E2128,0.5
E8123,0.5
E1658,0.5
E7504,0.5
E8552,0.5
E798,0.5
E5976,0.5
E6501,0.5
E8648,0.5
E7213,0.5
E6667,0.5
E6701,0.5
E4011,0.5
E6880,0.5
E2679,0.5
E10280,0.5
E6213,0.5
E7717,0.5
E5342,0.5
E3783,0.5
E4763,0.5
E8563,0.5
E8256,0.5
E7562,0.5
E8807,0.5
E1160,0.5
E6757,0.5
E4130,0.5
E10778,0.5
E6789,0.5
E1448,0.5
E1869,0.5
E10537,0.5
E8348,0.5
E5158,0.5
E5939,0.5
E10623,0.5
E4941,0.5
E9068,0.5
E9894,0.5
E1121,0.5
E5634,0.5
E3890,0.5
E10467,0.5
E3728,0.5
E3943,0.5
E6303,0.5
E9052,0.5
E533,0.5
E132,0.5
E1580,0.5
E4034,0.5
E9422,0.5
